Year,2009,2010,2011,2012,2013,2014,2015
De 10 A 14 Años,0.83,1.07,1.56,1.62,1.76,2.13,2.86
De 15 A 19 Años,2.53,3.89,5.27,5.21,5.13,6.78,7.49
De 20 A 24 Años,2.02,2.58,3.35,4.08,3.59,4.84,4.12
De 25 A 29 Años,1.77,1.91,2.84,2.8,2.58,3.43,2.89
De 30 A 34 Años,1.05,1.35,1.88,1.81,2,2.5,1.99
De 35 A 39 Años,0.89,1.09,1.51,1.31,1.4,1.66,1.72
De 40 A 44 Años,0.58,0.6,0.84,1.12,0.92,1.24,1.56
De 45 A 49 Años,0.49,0.42,0.73,0.83,0.82,0.94,0.9
De 50 A 54 Años,0.25,0.26,0.51,0.49,0.83,1.01,0.73
De 55 A 59 Años,0.4,0.22,0.5,0.58,0.41,0.7,0.47
De 60 A 64 Años,0.18,0.25,0.31,0.42,0.16,0.42,0.41
De 65 A 69 Años,0.39,0.1,0.14,0.22,0.33,0.32,0.38
De 70 A 74 Años,0.43,0.12,0.36,0.65,0.17,0.28,0.27
De 75 A 79 Años,0.18,0.17,0.08,0,0.23,0.3,0.51
De 80 Años O Más,0.09,0.17,0.25,0.32,0.31,0.45,0.29
